recrd,vesslterms,feature_type,chart,latitude,longitude,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3729954,-79.9469681,,,,,,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3547792,-79.9081268,,,,,,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3390503,-79.9137115,,,,,,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3340302,-79.9357223,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3560572,-79.9074173,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3418808,-79.9103851,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3314219,-79.9361496,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1083/14",9.3641392,-79.940556,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1666/14",9.372635,-79.9004446,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.2312794,-72.5419922,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.2282791,-72.5341797,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.2261219,-72.5329208,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",18.53689,-72.3630676,,,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5343819,-72.3792343,,,,,4 wrecks,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5800037,-72.3866577,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",18.5628262,-72.4051361,,18.7,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5600472,-72.3600616,,,,,2 wrecks,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",18.5549297,-72.3545532,,,,,more than one,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5439014,-72.3890228,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5443325,-72.3885879,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.547678,-72.3946228,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5881729,-72.4106674,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5937481,-72.396492,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5926552,-72.3938522,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.581707,-72.3883438,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5553036,-72.348053,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5640431,-72.3525848,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.5644321,-72.3526001,,,,,,,always dry
